som_size,learning_rate,sigma,workload_pattern,avg_response_time,avg_utilization,load_variance,rejection_rate,load_balance_score,performance_score,execution_time,load_distribution
"(6, 6)",0.1,2.5,periodic,0.2626875166895236,0.5214247662949868,0.04069512056663491,0.8475,0.028171889504895443,0.3808249939290169,0.020830392837524414,"[15, 8, 28, 24, 50, 83, 91, 101]"
"(6, 6)",0.3,1.0,mixed,0.2404625032741684,0.46373116326208497,0.08500795142200925,0.7775,0.025535711256611835,0.38675222487350736,0.03237628936767578,"[5, 8, 74, 40, 60, 66, 127, 20]"
"(6, 6)",0.3,1.0,bursty,0.26160540397500837,0.5446585970567062,0.05084664862583155,0.79,0.02694623190371111,0.39680784879267234,0.032712459564208984,"[15, 21, 48, 31, 26, 90, 43, 126]"
"(6, 6)",0.3,1.0,periodic,0.2632897722854494,0.5719923569803359,0.030615041956952402,0.7975,0.0312618200309537,0.40175222426724566,0.022007465362548828,"[20, 28, 35, 26, 36, 57, 84, 114]"
"(6, 6)",0.3,1.5,mixed,0.23971832517404235,0.42646113142057807,0.09337767341318803,0.87,0.028310963979151258,0.36177596920280974,0.01915121078491211,"[15, 20, 16, 28, 50, 77, 113, 81]"
"(6, 6)",0.3,1.5,bursty,0.25565507571861495,0.49728078158196404,0.07097806764662215,0.81,0.024012600160995247,0.38357905181389956,0.019093751907348633,"[21, 13, 38, 20, 10, 105, 74, 119]"
"(6, 6)",0.3,1.5,periodic,0.2291965802579437,0.5361377002230765,0.03741752669898551,0.78,0.027268673191878836,0.40346999900559316,0.02017974853515625,"[34, 19, 27, 14, 102, 33, 57, 114]"
"(6, 6)",0.3,2.0,mixed,0.27122168970754734,0.5104279710401941,0.05541781782794208,0.8475,0.03690584809029379,0.3796508047167463,0.020001649856567383,"[28, 18, 23, 39, 55, 89, 88, 60]"
"(6, 6)",0.3,2.0,bursty,0.2525569778971806,0.5121335317050074,0.05939779029794427,0.815,0.02468364441612607,0.386341862117167,0.02068638801574707,"[14, 15, 49, 24, 45, 99, 129, 25]"
"(6, 6)",0.3,2.0,periodic,0.2606827729129349,0.509241868883938,0.03321850585119387,0.8525,0.02576520393428469,0.3770442231033127,0.029272794723510742,"[24, 29, 23, 23, 23, 95, 55, 128]"
"(6, 6)",0.3,2.5,mixed,0.249416737732459,0.4774772686926595,0.04740393503792786,0.8575,0.020915781008831034,0.370382226674875,0.023834228515625,"[14, 12, 19, 10, 33, 78, 84, 150]"
"(6, 6)",0.3,2.5,bursty,0.2395495284637441,0.45012031209252923,0.09458947799841197,0.8425,0.02846400028501033,0.3720866694846157,0.021300554275512695,"[14, 16, 21, 25, 64, 97, 104, 59]"
"(6, 6)",0.3,2.5,periodic,0.2556874891414947,0.4866422124733261,0.03500461690588897,0.8675,0.02769001601636272,0.3710483954608303,0.02263045310974121,"[22, 10, 23, 30, 33, 101, 81, 100]"
"(6, 6)",0.5,1.0,mixed,0.23417133700625817,0.4881709117622151,0.05321269170327472,0.81,0.03672453289258807,0.38972962303816566,0.02089977264404297,"[9, 21, 59, 78, 58, 33, 92, 50]"
"(6, 6)",0.5,1.0,bursty,0.2510173654827187,0.48875966238573,0.053383840073415775,0.8125,0.021624527909801797,0.38154411552911227,0.022844314575195312,"[8, 23, 9, 36, 36, 151, 47, 90]"
"(6, 6)",0.5,1.0,periodic,0.2976414337922031,0.5784694231337792,0.031613162032353974,0.8125,0.028273092744900488,0.3928644845961866,0.03195381164550781,"[19, 14, 14, 25, 64, 96, 102, 66]"
"(6, 6)",0.5,1.5,mixed,0.2673673416719286,0.49949218297588155,0.06451193430294366,0.8375,0.031380770862202575,0.3785238329089787,0.01896834373474121,"[16, 22, 17, 36, 58, 61, 104, 86]"
"(6, 6)",0.5,1.5,bursty,0.24032984643991778,0.4471181977195425,0.05862473816909266,0.8225,0.023477888193274055,0.37383815089216416,0.01982259750366211,"[12, 11, 23, 16, 104, 33, 119, 82]"
"(6, 6)",0.5,1.5,periodic,0.26509235277732596,0.47961257784860106,0.039365922143455676,0.8275,0.03038587345413389,0.3766751153564959,0.02127218246459961,"[15, 16, 22, 27, 71, 61, 91, 97]"
"(6, 6)",0.5,2.0,mixed,0.25538452251230714,0.5117350064411441,0.03566039943982606,0.8475,0.02654573625794814,0.3797813280797538,0.02053666114807129,"[21, 11, 15, 49, 50, 66, 55, 133]"
"(6, 6)",0.5,2.0,bursty,0.2575738065942692,0.5335211241650837,0.0448828675519895,0.8275,0.021212917283946104,0.3861226869751702,0.015424489974975586,"[1, 14, 9, 42, 40, 111, 138, 45]"
"(6, 6)",0.5,2.0,periodic,0.2645591091610953,0.47123106248568236,0.041113065663918896,0.8225,0.026555349652979295,0.37494965181749546,0.028383255004882812,"[8, 4, 20, 61, 78, 36, 80, 113]"
"(6, 6)",0.5,2.5,mixed,0.2439102829738952,0.5294718983265319,0.03067828308111013,0.82,0.028235374548970044,0.39153994178824764,0.029916763305664062,"[16, 15, 31, 33, 46, 94, 48, 117]"
